Wind Speed [m/s];Power [kW];Thrust [kN];Ct [-];Cp [-]
4;352.4916;259.785;0.843797283;0.286228472
5;1005.2678;404.225;0.840286131;0.417941785
6;1928.1366;572.815;0.826905567;0.463903962
7;3152.6738;739.91;0.784741917;0.477671084
8;4693.2206;916.895;0.744532508;0.4763707
9;6682.2444;1160.465;0.744545189;0.476363921
10;9166.417;1432.67;0.744543714;0.476369168
11;9963.926917;1365.535;0.5864912;0.389042021
12;10761.43683;1365.535;0.492815522;0.323646233
13;11558.94675;1298.4;0.399269225;0.273421235
14;11548.96015;1161.48;0.307963821;0.218727208
15;11597.15635;1068.96;0.246901069;0.178575457
16;11551.891;989.76;0.200924996;0.146567327
17;11549.72;928.8;0.167019969;0.122171168
18;11549.61145;879;0.140989866;0.102918605
19;11563.6144;838.08;0.120648606;0.087614671
20;11556.4501;801.72;0.104161389;0.075072088
21;11554.062;770.52;0.090800734;0.064836691
22;11551.0226;743.4;0.079821747;0.056376281
23;11549.17725;719.76;0.070709224;0.049330052
24;11553.6278;699.24;0.063088153;0.043433885
25;11545.05235;680.64;0.056595446;0.038399
