type,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/elevation,properties/elevation_source,properties/wind_weibull_a/0,properties/wind_weibull_a/1,properties/wind_weibull_a/2,properties/wind_weibull_a/3,properties/wind_weibull_a/4,properties/wind_weibull_a/5,properties/wind_weibull_a/6,properties/wind_weibull_a/7,properties/wind_weibull_a/8,properties/wind_weibull_a/9,properties/wind_weibull_a/10,properties/wind_weibull_a/11,properties/wind_weibull_a/12,properties/wind_weibull_a/13,properties/wind_weibull_a/14,properties/wind_weibull_a/15,properties/wind_weibull_k/0,properties/wind_weibull_k/1,properties/wind_weibull_k/2,properties/wind_weibull_k/3,properties/wind_weibull_k/4,properties/wind_weibull_k/5,properties/wind_weibull_k/6,properties/wind_weibull_k/7,properties/wind_weibull_k/8,properties/wind_weibull_k/9,properties/wind_weibull_k/10,properties/wind_weibull_k/11,properties/wind_weibull_k/12,properties/wind_weibull_k/13,properties/wind_weibull_k/14,properties/wind_weibull_k/15,properties/wind_sector_frequencies/0,properties/wind_sector_frequencies/1,properties/wind_sector_frequencies/2,properties/wind_sector_frequencies/3,properties/wind_sector_frequencies/4,properties/wind_sector_frequencies/5,properties/wind_sector_frequencies/6,properties/wind_sector_frequencies/7,properties/wind_sector_frequencies/8,properties/wind_sector_frequencies/9,properties/wind_sector_frequencies/10,properties/wind_sector_frequencies/11,properties/wind_sector_frequencies/12,properties/wind_sector_frequencies/13,properties/wind_sector_frequencies/14,properties/wind_sector_frequencies/15,properties/wind_speed_mean,properties/wind_distribution_source
Feature,Point,4.140831,52.643463,-25,GEBCO,10.59,10.59,10.59,10.59,10.59,10.59,10.59,10.59,10.59,10.59,10.59,10.59,10.59,10.59,10.59,10.59,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,3.9,3.6,4.6,4.6,5.3,4.4,3.7,4.2,5.6,8.1,13.6,11.5,8.2,7,6.4,5.5,9.379591662503499,VORTEX fdc (single Weibull distribution and sector frequencies)
Feature,Point,4.148233402238965,52.643463,-25,GEBCO,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,3.9,3.6,4.6,4.6,5.3,4.4,3.7,4.2,5.6,8.1,13.6,11.5,8.2,7,6.4,5.5,9.370734635437868,VORTEX fdc (single Weibull distribution and sector frequencies)
Feature,Point,4.15563580447793,52.643463,-25,GEBCO,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,4,3.6,4.6,4.6,5.3,4.4,3.6,4.2,5.6,8,13.6,11.5,8.1,6.9,6.4,5.5,9.37102820923033,VORTEX fdc (single Weibull distribution and sector frequencies)
Feature,Point,4.1630382067168945,52.643463,-24,GEBCO,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,4,3.6,4.6,4.6,5.3,4.4,3.6,4.2,5.6,8,13.6,11.5,8.1,6.9,6.4,5.5,9.37102820923033,VORTEX fdc (single Weibull distribution and sector frequencies)
Feature,Point,4.170440608955859,52.643463,-23,GEBCO,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,4,3.6,4.6,4.6,5.3,4.4,3.6,4.2,5.6,8,13.6,11.5,8.1,6.9,6.4,5.5,9.37102820923033,VORTEX fdc (single Weibull distribution and sector frequencies)
Feature,Point,4.177843011194824,52.643463,-24,GEBCO,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,4,3.6,4.6,4.7,5.3,4.4,3.6,4.2,5.6,7.9,13.6,11.6,8.1,7,6.3,5.4,9.37102820923033,VORTEX fdc (single Weibull distribution and sector frequencies)
Feature,Point,4.185245413433789,52.643463,-24,GEBCO,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,4,3.6,4.6,4.7,5.3,4.4,3.6,4.2,5.6,7.9,13.6,11.6,8.1,7,6.3,5.4,9.362170904684744,VORTEX fdc (single Weibull distribution and sector frequencies)
Feature,Point,4.192647815672754,52.643463,-25,GEBCO,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,4,3.6,4.6,4.7,5.3,4.4,3.6,4.2,5.6,7.9,13.6,11.6,8.1,7,6.3,5.4,9.362170904684744,VORTEX fdc (single Weibull distribution and sector frequencies)
Feature,Point,4.200050217911719,52.643463,-24,GEBCO,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,4,3.7,4.6,4.6,5.4,4.3,3.6,4.2,5.6,7.9,13.6,11.5,8.2,7,6.3,5.4,9.362170904684744,VORTEX fdc (single Weibull distribution and sector frequencies)
Feature,Point,4.207452620150684,52.643463,-23,GEBCO,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,4,3.7,4.6,4.6,5.4,4.3,3.6,4.2,5.6,7.9,13.6,11.5,8.2,7,6.3,5.4,9.353313600139158,VORTEX fdc (single Weibull distribution and sector frequencies)
