Wind direction,Wind speed,Turbine 0,Turbine 1,Turbine 2,Turbine 3,Turbine 4,Turbine 5,Turbine 6,Turbine 7,Turbine 8,Turbine 9,Turbine 10,Turbine 11,Turbine 12,Turbine 13,Turbine 14,Turbine 15,Turbine 16,Turbine 17,Turbine 18,Turbine 19,Turbine 20,Turbine 21,Turbine 22,Turbine 23,Turbine 24,Turbine 25,Turbine 26,Turbine 27,Turbine 28,Turbine 29,Turbine 30,Turbine 31,Turbine 32,Turbine 33,Turbine 34,Turbine 35,Turbine 36,Turbine 37,Turbine 38,Turbine 39,Turbine 40,Turbine 41,Turbine 42,Turbine 43,Turbine 44,Turbine 45,Turbine 46,Turbine 47,Turbine 48,Turbine 49,Turbine 50,Turbine 51,Turbine 52,Turbine 53,Turbine 54,Turbine 55,Turbine 56,Turbine 57,Turbine 58,Turbine 59,Turbine 60,Turbine 61,Turbine 62,Turbine 63,Turbine 64,Turbine 65,Turbine 66,Turbine 67,Turbine 68
0,9,0.0,0.0,0.0,0.0,0.0,5.625,0.0,-3.75,5.625,13.125,0.0,-1.875,0.0,0.0,-1.875,0.0,0.0,3.75,0.0,0.0,0.0,0.0,4.6875,3.75,0.0,3.75,0.9375,0.0,-1.875,-3.75,0.0,-1.875,-3.75,-3.75,0.0,1.875,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.0,3.75,0.0,-3.75,-3.75,7.5,0.9375,0.0,0.0,5.625,-3.75,0.0,3.75,11.25,3.75,0.0,-15.0,-16.875,11.25,-15.9375,-1.875,0.9375,-1.875,0.0,-1.875,0.0
0,10,0.0,0.0,0.0,0.0,0.0,3.75,0.0,-1.875,7.5,11.25,0.0,-0.9375,0.0,0.0,-1.875,0.0,0.0,3.75,0.0,0.0,0.0,0.0,3.75,2.8125,0.0,0.9375,0.9375,0.0,-0.9375,-3.75,0.0,-1.875,-3.75,-3.75,0.0,0.9375,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.0,1.875,0.0,-3.75,-3.75,7.5,0.9375,0.0,0.0,4.6875,-3.75,0.0,0.9375,13.125,3.75,0.0,15.0,-18.75,9.375,-14.0625,-1.875,0.9375,-1.875,0.0,0.0,0.0
0,11,0.0,0.0,0.0,0.0,0.0,3.75,0.0,-1.875,4.6875,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,3.75,1.875,0.0,1.875,0.0,0.0,0.0,-3.75,0.0,0.0,-3.75,-3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,-3.75,-3.75,7.5,0.0,0.0,0.0,3.75,-3.75,0.0,0.9375,11.25,3.75,0.0,11.25,-16.875,11.25,-15.0,-1.875,0.0,0.0,0.0,0.0,0.0
1,9,0.0,0.0,0.0,0.0,0.0,7.5,0.0,-3.75,3.75,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875,0.0,0.0,0.9375,0.0,3.75,0.9375,0.0,0.9375,0.0,0.0,-3.75,-3.75,-1.875,0.0,-3.75,-6.5625,0.0,0.9375,0.0,0.9375,-3.75,0.0,0.0,0.0,0.0,-3.75,1.875,0.0,-3.75,-3.75,4.6875,3.75,0.0,0.0,3.75,-3.75,0.0,3.75,11.25,3.75,0.0,15.0,-18.75,7.5,-18.75,-3.75,0.0,-1.875,0.0,0.0,0.0
1,10,0.0,0.0,0.0,0.0,0.0,7.5,0.0,-3.75,3.75,9.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.9375,0.0,3.75,0.0,0.0,0.0,0.0,0.0,-2.8125,-3.75,-1.875,0.0,-3.75,-3.75,0.0,0.0,0.0,0.0,-2.8125,0.0,0.0,0.0,0.0,-3.75,0.9375,0.0,-3.75,-3.75,3.75,1.875,0.0,0.0,3.75,-3.75,0.0,3.75,11.25,3.75,0.0,15.0,-18.75,5.625,-14.0625,-1.875,0.0,-1.875,0.0,0.0,0.0
1,11,0.0,0.0,0.0,0.0,0.0,3.75,0.0,-3.75,3.75,10.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.9375,0.0,3.75,0.0,0.0,0.0,0.0,0.0,-2.8125,-3.75,0.0,0.0,-3.75,-3.75,0.0,0.0,0.0,0.0,-1.875,0.0,0.0,0.0,0.0,-3.75,0.0,0.0,-3.75,-3.75,3.75,0.9375,0.0,0.0,3.75,-3.75,0.0,3.75,11.25,3.75,0.0,15.0,-7.5,5.625,-16.875,-1.875,0.0,-1.875,0.0,0.0,0.0
2,9,0.0,0.0,0.0,0.0,0.0,7.5,0.0,-3.75,3.75,8.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,-1.875,0.0,3.75,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,-3.75,-3.75,-3.75,0.0,-3.75,-3.75,0.0,0.0,0.0,0.0,-3.75,0.0,0.0,0.0,0.0,-5.625,0.0,0.0,-5.625,-7.5,3.75,0.0,0.0,0.0,3.75,-3.75,0.0,3.75,11.25,0.0,0.0,15.0,18.75,5.625,-22.5,-1.875,0.0,-3.75,0.0,0.0,-1.875
2,10,0.0,0.0,0.0,0.0,0.0,4.6875,0.0,-3.75,3.75,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.875,0.0,3.75,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,-3.75,-3.75,-3.75,0.0,-3.75,-3.75,0.0,0.9375,0.0,0.0,-2.8125,0.0,-1.875,0.0,0.0,-3.75,0.0,0.0,-3.75,-6.5625,3.75,0.0,0.0,0.0,3.75,-3.75,0.0,3.75,11.25,0.0,0.0,15.0,18.75,4.6875,-6.5625,-1.875,0.0,-1.875,0.0,0.0,-1.875
2,11,0.0,0.0,0.0,0.0,0.0,4.6875,0.0,-3.75,3.75,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.875,0.0,3.75,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,-3.75,-3.75,-1.875,0.0,-3.75,-3.75,0.0,0.0,0.0,0.0,-2.8125,0.0,0.0,0.0,0.0,-3.75,0.0,0.0,-3.75,-3.75,3.75,0.0,0.0,0.0,2.8125,-3.75,0.0,3.75,11.25,0.0,0.0,15.0,15.0,4.6875,-7.5,0.0,0.0,-1.875,0.0,0.0,0.0
3,9,0.0,0.0,0.0,0.0,0.0,7.5,0.0,-5.625,0.9375,7.5,0.0,0.9375,0.0,0.0,-1.875,0.0,0.0,0.0,-3.75,0.0,4.6875,0.0,0.0,0.0,0.0,-1.875,0.0,0.0,-3.75,-3.75,-3.75,0.0,-3.75,0.0,0.0,0.0,0.0,-1.875,-1.875,-3.75,0.0,0.0,0.0,-7.5,0.9375,0.0,-6.5625,-7.5,1.875,0.0,0.0,0.0,0.9375,-5.625,0.0,3.75,11.25,0.0,0.0,15.0,18.75,3.75,22.5,0.0,0.0,-2.8125,0.0,0.0,-1.875
