pitch_St,pitch_amp,power_loss
0,0.5,0.994278583868197
0,1,0.989439113952016
0,1.5,0.983422589365627
0,2,0.976005898457714
0,2.5,0.966975723253951
0,3,0.956272524897034
0,3.5,0.944482499828568
0,4,0.932388887298525
0,4.5,0.920860078853086
0,5,0.910759350675337
0,5.5,0.902640706603935
0.01,0.5,0.994882022512955
0.01,1,0.990145947394572
0.01,1.5,0.984234821886256
0.01,2,0.976915111705054
0.01,2.5,0.967968922316978
0.01,3,0.957337148769696
0.01,3.5,0.945587690595179
0.01,4,0.933494309982216
0.01,4.5,0.92193842623931
0.01,5,0.911825037532773
0.01,5.5,0.903741875182129
0.02,0.5,0.995464735534707
0.02,1,0.990835039128415
0.02,1.5,0.985033877783764
0.02,2,0.977815719542739
0.02,2.5,0.968959938975455
0.02,3,0.958425525845074
0.02,3.5,0.946742792578736
0.02,4,0.93467109047443
0.02,4.5,0.923102231099163
0.02,5,0.91298394243117
0.02,5.5,0.90494282288428
0.03,0.5,0.996025784308978
0.03,1,0.991505669205045
0.03,1.5,0.985819908816547
0.03,2,0.978709710894305
0.03,2.5,0.969955168840795
0.03,3,0.959540900599091
0.03,3.5,0.947950876738603
0.03,4,0.935923614892387
0.03,4.5,0.924357515817633
0.03,5,0.914242355035488
0.03,5.5,0.90624944712853
0.04,0.5,0.996564272248666
0.04,1,0.992157174226647
0.04,1.5,0.986593320374978
0.04,2,0.979599934312619
0.04,2.5,0.970960419224899
0.04,3,0.960687134168564
0.04,3.5,0.949214855106062
0.04,4,0.937255995833066
0.04,4.5,0.925710479325281
0.04,5,0.915606903137849
0.04,5.5,0.907667758165752
0.05,0.5,0.997079325442926
0.05,1,0.992788876500322
0.05,1.5,0.987354579647919
0.05,2,0.980489530209124
0.05,2.5,0.971980786948771
0.05,3,0.961868082819155
0.05,3.5,0.950537149152174
0.05,4,0.938671773322018
0.05,4.5,0.927167342647486
0.05,5,0.917084547779879
0.05,5.5,0.909203747590386
0.06,0.5,0.997570074141576
0.06,1,0.993400006465713
0.06,1.5,0.988103989748615
0.06,2,0.981381433630853
0.06,2.5,0.973020629197224
0.06,3,0.963087047883903
0.06,3.5,0.951919313647672
0.06,4,0.940173550655513
0.06,4.5,0.928734087722775
0.06,5,0.918682577392298
0.06,5.5,0.910863151748712
0.07,0.5,0.998035638182854
0.07,1,0.993989627329684
0.07,1.5,0.988841454008183
0.07,2,0.98227795449461
0.07,2.5,0.974083541270761
0.07,3,0.964346307256152
0.07,3.5,0.953361647963829
0.07,4,0.941762578910318
0.07,4.5,0.930416009054153
0.07,5,0.920408601515316
0.07,5.5,0.912651026366554
0.08,0.5,0.998475119564705
0.08,1,0.994556571791048
0.08,1.5,0.989566254574136
0.08,2,0.983180355311311
0.08,2.5,0.975172342715189
0.08,3,0.96564664946237
0.08,3.5,0.954862829779175
0.08,4,0.943438320876907
0.08,4.5,0.932216959280568
0.08,5,0.922270544476632
0.08,5.5,0.914571007839035
0.09,0.5,0.998887605109297
0.09,1,0.995099400668396
0.09,1.5,0.990276870167961
0.09,2,0.984088354552625
0.09,2.5,0.976289073040364
0.09,3,0.966986833925675
0.09,3.5,0.956419609401779
0.09,4,0.945198045569154
0.09,4.5,0.934138192997892
0.09,5,0.924276639062012
0.09,5.5,0.916624155777726
0.1,0.5,0.999272181550176
0.1,1,0.995616392121485
0.1,1.5,0.990970858849145
0.1,2,0.98499959416654
0.1,2.5,0.977434997239244
0.1,3,0.968363008354878
0.1,3.5,0.95802660502795
0.1,4,0.947036520406907
0.1,4.5,0.936176950102442
0.1,5,0.926435418739439
0.1,5.5,0.918807507846059
0.11,0.5,0.999627964402963
0.11,1,0.996105568018586
0.11,1.5,0.991644829190932
0.11,2,0.985909298483877
0.11,2.5,0.978604537652276
0.11,3,0.969768318744025
0.11,3.5,0.959676235616433
0.11,4,0.948945867704556
0.11,4.5,0.938325398251975
0.11,5,0.928741025018009
0.11,5.5,0.921112973150417
0.12,0.5,0.999954140717602
0.12,1,0.996564760998444
0.12,1.5,0.992294514422605
0.12,2,0.98681038369824
0.12,2.5,0.979783365877058
0.12,3,0.971193009650868
0.12,3.5,0.96135881514917
0.12,4,0.950915627326397
0.12,4.5,0.940570698072234
0.12,5,0.931165232210549
0.12,5.5,0.923527362208935
0.13,0.5,1.0002500243342
0.13,1,0.99699172218772
0.13,1.5,0.992914950658119
0.13,2,0.987693970688309
0.13,2.5,0.980958846717848
0.13,3,0.972624994259424
0.13,3.5,0.963062812152227
0.13,4,0.952933024201118
0.13,4.5,0.94289618042058
0.13,5,0.933684527617204
0.13,5.5,0.926033567928735
0.14,0.5,1.000515120682
0.14,1,0.997384265697147
0.14,1.5,0.993500748435279
0.14,2,0.988549996114179
0.14,2.5,0.982117681481106
0.14,3,0.974050560668686
0.14,3.5,0.964775259154029
0.14,4,0.954983397222272
0.14,4.5,0.945282822343023
0.14,5,0.936275607823606
0.14,5.5,0.92861206936651
0.15,0.5,1.00074919659397
0.15,1,0.997740442205954
0.15,1.5,0.994046441334326
0.15,2,0.989367734684468
0.15,2.5,0.983245948306592
0.15,3,0.975454986160498
0.15,3.5,0.966482284770563
0.15,4,0.95705072398817
0.15,4.5,0.947710375871597
0.15,5,0.93891530906253
0.15,5.5,0.931242098217783
0.16,0.5,1.00095234920476
0.16,1,0.998058730257417
0.16,1.5,0.994546895351377
0.16,2,0.990136262217715
0.16,2.5,0.984329148842024
0.16,3,0.976823079036008
0.16,3.5,0.968169735146016
0.16,4,0.95911817914185
0.16,4.5,0.950158036351485
0.16,5,0.941580542192354
0.16,5.5,0.933902375794682
0.17,0.5,1.00112506694206
0.17,1,0.998338230274369
0.17,1.5,0.994997761807107
0.17,2,0.990844987133496
0.17,2.5,0.985352256679364
0.17,3,0.978139784747919
0.17,3.5,0.969823842568201
0.17,4,0.961168684923586
0.17,4.5,0.952604758337245
0.17,5,0.944248223978498
0.17,5.5,0.936571575159313
0.18,0.5,1.00126827515875
0.18,1,0.998578842599773
0.18,1.5,0.995395948552971
0.18,2,0.991484410646545
0.18,2.5,0.986299767347586
0.18,3,0.979391029257128
0.18,3.5,0.971431876437712
0.18,4,0.963185441121661
0.18,4.5,0.955029306296863
0.18,5,0.946895225648927
0.18,5.5,0.939228657745299
0.19,0.5,1.0013833594168
0.19,1,0.998781406810711
0.19,1.5,0.995740067625803
0.19,2,0.992047270959669
0.19,2.5,0.987155752540127
0.19,3,0.980564973507044
0.19,3.5,0.972982673726082
0.19,4,0.965152454926356
0.19,4.5,0.957410057938456
0.19,5,0.949498385572653
0.19,5.5,0.941853178015038
0.2,0.5,1.00147216120663
0.2,1,0.998947774867307
0.2,1.5,0.996030799101457
0.2,2,0.992530066939218
0.2,2.5,0.987903924672344
0.2,3,0.98165370464819
0.2,3.5,0.974466921069867
0.2,4,0.967055133277134
0.2,4.5,0.959724545906454
0.2,5,0.952034674781833
0.2,5.5,0.944425605333433
0.21,0.5,1.00153694422983
0.21,1,0.999080786324608
0.21,1.5,0.996271106075798
0.21,2,0.992934491221482
0.21,2.5,0.988533528947429
0.21,3,0.982654929472763
0.21,3.5,0.975877127467181
0.21,4,0.968881046679858
0.21,4.5,0.961948797636044
0.21,5,0.954481656254484
0.21,5.5,0.946927678181841
0.22,0.5,1.00158033406317
0.22,1,0.999184117333859
0.22,1.5,0.996466261818506
0.22,2,0.993267816278521
0.22,2.5,0.989061378783703
0.22,3,0.983572735179485
0.22,3.5,0.977207436687023
0.22,4,0.970615709326865
0.22,4.5,0.964056740948582
0.22,5,0.956818396436974
0.22,5.5,0.949342774829661
0.23,0.5,1.00160523890605
0.23,1,0.999262007935663
0.23,1.5,0.996623711783545
0.23,2,0.993541591015931
0.23,2.5,0.989512673894017
0.23,3,0.984416757539281
0.23,3.5,0.978453578381161
0.23,4,0.972238191307116
0.23,4.5,0.966020064732422
0.23,5,0.959026842733132
0.23,5.5,0.951656257361941
0.24,0.5,1.0016147621239
0.24,1,0.999318949951232
0.24,1.5,0.996751408843081
0.24,2,0.993769076350972
0.24,2.5,0.989913262651257
0.24,3,0.985200084109715
0.24,3.5,0.979613032659721
0.24,4,0.973733261913486
0.24,4.5,0.967815292842881
0.24,5,0.961093254993846
0.24,5.5,0.953855732332189
0.25,0.5,1.00161211652042
0.25,1,0.999359475835273
0.25,1.5,0.996854615232099
0.25,2,0.993962446058289
0.25,2.5,0.990290262912425
0.25,3,0.985936729692805
0.25,3.5,0.980685138849422
0.25,4,0.975092191070091
0.25,4.5,0.969442051063062
0.25,5,0.96300888351189
0.25,5.5,0.955931185130483
0.26,0.5,1.00160054568234
0.26,1,0.999388109004297
0.26,1.5,0.996939555037357
0.26,2,0.994133513429026
0.26,2.5,0.990668414208072
0.26,3,0.986639390010338
0.26,3.5,0.981670907880184
0.26,4,0.976312088948604
0.26,4.5,0.970905089872777
0.26,5,0.964769437009692
0.26,5.5,0.957874996993565
0.27,0.5,1.00158325190234
0.27,1,0.999409384723042
0.27,1.5,0.997013516214768
0.27,2,0.994298479510967
0.27,2.5,0.991054987427671
0.27,3,0.987318013992018
0.27,3.5,0.98257255995286
0.27,4,0.977394575271425
0.27,4.5,0.972209428144408
0.27,5,0.966373780589571
0.27,5.5,0.959681946881434
0.28,0.5,1.00156332657344
0.28,1,0.999427822390643
0.28,1.5,0.997084139073421
0.28,2,0.994470770278896
0.28,2.5,0.991453699771978
0.28,3,0.987979323062478
0.28,3.5,0.983392963763205
0.28,4,0.978344575026823
0.28,4.5,0.973361170668391
0.28,5,0.967822615428644
0.28,5.5,0.961349405028909
0.29,0.5,1.00154367937553
0.29,1,0.999447813743845
0.29,1.5,0.997158649146115
0.29,2,0.994660085792571
0.29,2.5,0.991870065254127
0.29,3,0.988626705499458
0.29,3.5,0.984135159051496
0.29,4,0.979169633223481
0.29,4.5,0.974368631741598
0.29,5,0.969109992994876
0.29,5.5,0.962877871246563
0.3,0.5,1.00152696639219
0.3,1,0.999473457002448
0.3,1.5,0.997243296958231
0.3,2,0.994872772457911
0.3,2.5,0.992311250811852
0.3,3,0.989259758533282
0.3,3.5,0.984801397813725
0.3,4,0.979879731885837
0.3,4.5,0.975243472780051
0.3,5,0.970241876155677
0.3,5.5,0.964271572624763
0.31,0.5,1.00151552277194
0.31,1,0.999508377771892
0.31,1.5,0.99734311018938
0.31,2,0.995111876542568
0.31,2.5,0.992783197358563
0.31,3,0.989873372389534
0.31,3.5,0.985394721473426
0.31,4,0.980487433737364
0.31,4.5,0.976001134999538
0.31,5,0.971239202292534
0.31,5.5,0.965538435655102
0.32,0.5,1.00151131130996
0.32,1,0.999555561172233
0.32,1.5,0.997461925005388
0.32,2,0.995377443708426
0.32,2.5,0.993274883533115
0.32,3,0.990456930767668
0.32,3.5,0.985919589526569
0.32,4,0.981008155927553
0.32,4.5,0.976660248284062
0.32,5,0.972122318280478
0.32,5.5,0.966689194703592
0.33,0.5,1.00151590227326
0.33,1,0.999617200574972
0.33,1.5,0.997602604030255
0.33,2,0.995667538859943
0.33,2.5,0.993772696139747
0.33,3,0.99099416018257
0.33,3.5,0.986382870560343
0.33,4,0.981460418027412
0.33,4.5,0.977241387660512
0.33,5,0.972910563316873
0.33,5.5,0.967736129505876
0.34,0.5,1.00153049410334
0.34,1,0.999694557455431
0.34,1.5,0.997767306955357
0.34,2,0.995979725725918
0.34,2.5,0.994268093370601
0.34,3,0.991472147980105
0.34,3.5,0.98679498942419
0.34,4,0.981865961645515
0.34,4.5,0.977765556527367
0.34,5,0.973621871240927
0.34,5.5,0.968691959972054
0.35,0.5,1.00155595387516
0.35,1,0.999787828043058
0.35,1.5,0.997957611639825
0.35,2,0.996312383506709
0.35,2.5,0.994757357836531
0.35,3,0.991904745293429
0.35,3.5,0.987169744428763
0.35,4,0.982249677369803
0.35,4.5,0.978252455105913
0.35,5,0.974272381184881
0.35,5.5,0.96956906849652
0.36,0.5,1.00159280962618
0.36,1,0.999898212888587
0.36,1.5,0.998174224747356
0.36,2,0.996665554218701
0.36,2.5,0.995239385500228
0.36,3,0.992306691760047
0.36,3.5,0.987522416991624
0.36,4,0.982640782073841
0.36,4.5,0.978718648627892
0.36,5,0.974876107346008
0.36,5.5,0.970379005136727
0.37,0.5,1.00164114622151
0.37,1,1.00002704548728
0.37,1.5,0.998416155279098
0.37,2,0.997041444841213
0.37,2.5,0.995712141358439
0.37,3,0.992687524974538
0.37,3.5,0.987867443851097
0.37,4,0.983048945655834
0.37,4.5,0.979176208857021
0.37,5,0.975444726769823
0.37,5.5,0.971132193988491
0.38,0.5,1.00170047426663
0.38,1,1.00017238994412
0.38,1.5,0.998679711391863
0.38,2,0.997441641655539
0.38,2.5,0.996169137830951
0.38,3,0.993051548053786
0.38,3.5,0.988217325986695
0.38,4,0.983472330705819
0.38,4.5,0.979632493630759
0.38,5,0.975987526447828
0.38,5.5,0.971837780543928
0.39,0.5,1.00176968762905
0.39,1,1.00033117952943
0.39,1.5,0.998958154600523
0.39,2,0.997847506788813
0.39,2.5,0.996597190005477
0.39,3,0.993398263516348
0.39,3.5,0.988583094192187
0.39,4,0.983908846370242
0.39,4.5,0.980090981156581
0.39,5,0.976511514386953
0.39,5.5,0.972503581680446
0.4,0.5,1.00184713280561
0.4,1,1.0004994730794
0.4,1.5,0.999242543246615
0.4,2,0.998236557966207
0.4,2.5,0.996976013654808
0.4,3,0.993723814860018
0.4,3.5,0.988965294618605
0.4,4,0.984355182406711
0.4,4.5,0.980552447875047
0.4,5,0.977021661983104
0.4,5.5,0.973136111893324
0.41,0.5,1.00193074235362
0.41,1,1.00067280096712
0.41,1.5,0.999523338457814
0.41,2,0.998592571937597
0.41,2.5,0.997286179938765
0.41,3,0.994023445012988
0.41,3.5,0.989349129376868
0.41,4,0.984806668672485
0.41,4.5,0.981015962535552
0.41,5,0.97752122424481
0.41,5.5,0.973740664714867
0.42,0.5,1.00201818859104
0.42,1,1.00084654667342
0.42,1.5,0.999791899437148
0.42,2,0.998906170940408
0.42,2.5,0.997533714774348
0.42,3,0.99429385636781
0.42,3.5,0.989726274545155
0.42,4,0.985257927677766
0.42,4.5,0.981479588894681
0.42,5,0.978012084574037
0.42,5.5,0.97432143097506
0.43,0.5,1.00210703430941
0.43,1,1.00101629861208
0.43,1.5,1.00004137735986
0.43,2,0.999173947231885
0.43,2.5,0.997730292605667
0.43,3,0.994534166068918
0.43,3.5,0.990090350519794
0.43,4,0.98570369750862
0.43,4.5,0.981940870050527
0.43,5,0.978495084420987
0.43,5.5,0.974881637912813
0.44,0.5,1.00219486791815
0.44,1,1.00117812363896
0.44,1.5,1.00026700428489
0.44,2,0.999396629135369
0.44,2.5,0.997885010164488
0.44,3,0.994745473783797
0.44,3.5,0.990436846738217
0.44,4,0.986139373982985
0.44,4.5,0.982397169435734
0.44,5,0.978970314861426
0.44,5.5,0.975423695903052
0.45,0.5,1.00227941514043
0.45,1,1.00132874054427
0.45,1.5,1.00046597459763
0.45,2,0.999577265296907
0.45,2.5,0.998005050895064
0.45,3,0.994929976602977
0.45,3.5,0.990762914422602
0.45,4,0.986561237062689
0.45,4.5,0.982845909701626
0.45,5,0.979437360608154
0.45,5.5,0.975949342649427
0.46,0.5,1.00235862292066
0.46,1,1.00146559615514
0.46,1.5,1.00063712025683
0.46,2,0.999719945827067
0.46,2.5,0.998096178266251
0.46,3,0.995090278131257
0.46,3.5,0.991067059910554
0.46,4,0.986966479264924
0.46,4.5,0.983284731149885
0.46,5,0.979895495529566
0.46,5.5,0.976459777758667
0.47,0.5,1.00243071462144
0.47,1,1.00158686198329
0.47,1.5,1.00078052247722
0.47,2,0.999829061802717
0.47,2.5,0.998163098572482
0.47,3,0.995229011393555
0.47,3.5,0.991348818466789
0.47,4,0.987353133540341
0.47,4.5,0.983711585392568
0.47,5,0.980343833333385
0.47,5.5,0.976955783337754
0.48,0.5,1.00249421851514
0.48,1,1.00169137526006
0.48,1.5,1.00089714159263
0.48,2,0.999908925693488
0.48,2.5,0.998209729722236
0.48,3,0.995348677968558
0.48,3.5,0.991608456552554
0.48,4,0.987719956840168
0.48,4.5,0.984124778830834
0.48,5,0.980781439135502
0.48,5.5,0.977437828463351
0.49,0.5,1.00254797361187
0.49,1,1.0017785474392
0.49,1.5,1.0009885018562
0.49,2,0.99996358846851
0.49,2.5,0.998239401164082
0.49,3,0.995451592582464
0.49,3.5,0.991846723348222
0.49,4,0.988066300062703
0.49,4.5,0.98452297966207
0.49,5,0.981207408283192
0.49,5.5,0.977906157020456
0.5,0.5,1.00259111790453
0.5,1,1.00184825903187
0.5,1.5,1.00105644105409
0.5,2,0.999996736801218
0.5,2.5,0.998255006780765
0.5,3,0.995539853142711
0.5,3.5,0.992064655050133
0.5,4,0.988391981245811
0.5,4.5,0.984905200384669
0.5,5,0.981620918696848
0.5,5.5,0.978360859542547
0.51,0.5,1.00262306428709
0.51,1,1.00190075438803
0.51,1.5,1.00110292209493
0.51,2,1.00001160164269
0.51,2.5,0.998260095633219
0.51,3,0.99561528845002
0.51,3.5,0.992263427552907
0.51,4,0.988697170999847
0.51,4.5,0.985270765479309
0.51,5,0.982021262491077
0.51,5.5,0.978801930396207
0.52,0.5,1.00264346896233
0.52,1,1.00193654513576
0.52,1.5,1.00112989941627
0.52,2,1.0000108799904
0.52,2.5,0.998256773974095
0.52,3,0.995679391248266
0.52,3.5,0.992444251120378
0.52,4,0.988982294397382
0.52,4.5,0.985619271590665
0.52,5,0.982407861932919
0.52,5.5,0.979229312036918
0.53,0.5,1.0026521963592
0.53,1,1.0019563270109
0.53,1.5,1.00113923204578
0.53,2,0.999996725464924
0.53,2.5,0.998245719771213
0.53,3,0.995733295773127
0.53,3.5,0.992608300771903
0.53,4,0.989247950548034
0.53,4.5,0.985950545421658
0.53,5,0.982780274012033
0.53,5.5,0.979642928209614
0.54,0.5,1.00264928364623
0.54,1,1.00196091186304
0.54,1.5,1.00113263457418
0.54,2,0.999970824026726
0.54,2.5,0.998227476611406
0.54,3,0.99577782889235
0.54,3.5,0.992756676043542
0.54,4,0.9894948492318
0.54,4.5,0.986264602809363
0.54,5,0.983138187115712
0.54,5.5,0.980042707950697
0.55,0.5,1.00263490701018
0.55,1,1.00195117461206
0.55,1.5,1.00111165667225
0.55,2,0.999934505061857
0.55,2.5,0.998202487334249
0.55,3,0.9958135976353
0.55,3.5,0.992890383207733
0.55,4,0.989723762866145
0.55,4.5,0.986561611095742
0.55,5,0.983481412570412
0.55,5.5,0.98042860212833
0.56,0.5,1.00260935106128
0.56,1,1.00192801369488
0.56,1.5,1.00107768187499
0.56,2,0.999888839235573
0.56,2.5,0.998171120114843
0.56,3,0.995841068014536
0.56,3.5,0.993010332797628
0.56,4,0.989935491516741
0.56,4.5,0.986841855901974
0.56,5,0.983809873161802
0.56,5.5,0.980800594077969
0.57,0.5,1.00257298207477
0.57,1,1.0018923229189
0.57,1.5,1.00103193762322
0.57,2,0.99983470887698
0.57,2.5,0.99813368806673
0.57,3,0.995860619561791
0.57,3.5,0.993117346024873
0.57,4,0.990130838484775
0.57,4.5,0.987105712706814
0.57,5,0.984123590193127
0.57,5.5,0.981158705682564
0.58,0.5,1.00252622529025
0.58,1,1.001844972464
0.58,1.5,1.00097551062626
0.58,2,0.999772855697232
0.58,2.5,0.998090463978045
0.58,3,0.995872579050363
0.58,3.5,0.993212165232928
0.58,4,0.99031059410093
0.58,4.5,0.987353623160127
0.58,5,0.984422670186543
0.58,5.5,0.981503000035144
0.59,0.5,1.0024695461561
0.59,1,1.00178679689834
0.59,1.5,1.00090936375976
0.59,2,0.999703913553895
0.59,2.5,0.998041691384384
0.59,3,0.995877240658886
0.59,3.5,0.993295465280715
0.59,4,0.990475525629809
0.59,4.5,0.987586075777176
0.59,5,0.984707291971998
0.59,5.5,0.981833581618113
0.6,0.5,1.00240343519803
0.6,1,1.00171858836041
0.6,1.5,1.00083435242456
0.6,2,0.999628431834076
0.6,2.5,0.997987592879601
0.6,3,0.99587487808778
0.6,3.5,0.993367864203215
0.6,4,0.990626371547075
0.6,4.5,0.987803590509289
0.6,5,0.984977694630294
0.6,5.5,0.982150594749701
0.61,0.5,1.0023283960835
0.61,1,1.00164109340784
0.61,1.5,1.00075123942419
0.61,2,0.999546892815774
0.61,2.5,0.997928376340331
0.61,3,0.995865751989043
0.61,3.5,0.9934299324685
0.61,4,0.990763838826955
0.61,4.5,0.988006706631177
0.61,5,0.985234166551587
0.61,5.5,0.982454220885594
0.62,0.5,1.00224493641599
0.62,1,1.00155501237554
0.62,1.5,1.00066070806301
0.62,2,0.999459724967641
0.62,2.5,0.997864239572972
0.62,3,0.995850114627276
0.62,3.5,0.993482200698747
0.62,4,0.990888602220089
0.62,4.5,0.988195973392153
0.62,5,0.985477035722915
0.62,5.5,0.982744675226708
0.63,0.5,1.00215356080227
0.63,1,1.00146100038314
0.63,1.5,1.00056337348747
0.63,2,0.999367313363674
0.63,2.5,0.997795373767127
0.63,3,0.995828212860789
0.63,3.5,0.993525165979484
0.63,4,0.991001304788706
0.63,4.5,0.988371942921646
0.63,5,0.985706661257785
0.63,5.5,0.983022202969412
0.64,0.5,1.00205476577323
0.64,1,1.00135966937311
0.64,1.5,1.00045979242778
0.64,2,0.99927000795937
0.64,2.5,0.997721966045545
0.64,3,0.99580029007302
0.64,3.5,0.993559296972169
0.64,4,0.991102559190381
0.64,4.5,0.98853516494105
0.64,5,0.985923426115436
0.64,5.5,0.98328707544222
0.65,0.5,1.00194903618814
0.65,1,1.0012515907452
0.65,1.5,1.00035047153677
0.65,2,0.999168130232195
0.65,2.5,0.997644201330788
0.65,3,0.995766587430944
0.65,3.5,0.993585038053266
0.65,4,0.991192949368684
0.65,4.5,0.988686182901328
0.65,5,0.986127730919021
0.65,5.5,0.983539586299793
0.66,0.5,1.00183684280747
0.66,1,1.00113729828961
0.66,1.5,1.00023587452059
0.66,2,0.999061978543273
0.66,2.5,0.997562263695639
0.66,3,0.995727344702444
0.66,3.5,0.993602812677674
0.66,4,0.991273032427769
0.66,4.5,0.988825531231334
