pitch_St,pitch_amp,thrust_loss
0,0.5,0.995517668148417
0,1,0.993527908881883
0,1.5,0.990458096710909
0,2,0.986417663610667
0,2.5,0.98140373851977
0,3,0.974776267420197
0,3.5,0.966499496652803
0,4,0.957288736934294
0,4.5,0.948265923128451
0,5,0.941288391113877
0,5.5,0.938767599119867
0.01,0.5,0.995698924864555
0.01,1,0.993746014927211
0.01,1.5,0.990715512687445
0.01,2,0.986733569523751
0.01,2.5,0.981804281653631
0.01,3,0.975327479609739
0.01,3.5,0.967144644889897
0.01,4,0.958000025989808
0.01,4.5,0.948993947981774
0.01,5,0.941934939284018
0.01,5.5,0.939378223697757
0.02,0.5,0.995876124619844
0.02,1,0.993960640950473
0.02,1.5,0.99097115963166
0.02,2,0.987053485891825
0.02,2.5,0.982209536823084
0.02,3,0.975897434151245
0.02,3.5,0.967813085520284
0.02,4,0.958746490709443
0.02,4.5,0.949773959956758
0.02,5,0.94263656931674
0.02,5.5,0.940039514054176
0.03,0.5,0.9960489252988
0.03,1,0.994171355969848
0.03,1.5,0.991224624359038
0.03,2,0.987378374907226
0.03,2.5,0.982624842284987
0.03,3,0.976487049214121
0.03,3.5,0.968504081215763
0.03,4,0.959527612168288
0.03,4.5,0.950607029804198
0.03,5,0.943395399043364
0.03,5.5,0.940752559045983
0.04,0.5,0.996216976697187
0.04,1,0.99437769982581
0.04,1.5,0.99147541046646
0.04,2,0.987709168556702
0.04,2.5,0.983055568625414
0.04,3,0.977097145652171
0.04,3.5,0.96921668951287
0.04,4,0.960342641211215
0.04,4.5,0.951493990313556
0.04,5,0.944213595048018
0.04,5.5,0.941518232711939
0.05,0.5,0.996379921839309
0.05,1,0.994579182319305
0.05,1.5,0.99172292547033
0.05,2,0.988046640116095
0.05,2.5,0.983507084591332
0.05,3,0.977728308010328
0.05,3.5,0.969949744837811
0.05,4,0.961190583431076
0.05,4.5,0.95243536475733
0.05,5,0.945093371778998
0.05,5.5,0.942337127684304
0.06,0.5,0.996537398666939
0.06,1,0.994775282948977
0.06,1.5,0.99196647057314
0.06,2,0.988391253939841
0.06,2.5,0.98398476761654
0.06,3,0.978380721694435
0.06,3.5,0.970701843924398
0.06,4,0.962070187356523
0.06,4.5,0.953431285596862
0.06,5,0.946036990764954
0.06,5.5,0.943209479465577
0.07,0.5,0.996689042136935
0.07,1,0.994965451354189
0.07,1.5,0.992205234368531
0.07,2,0.988743004635583
0.07,2.5,0.984494014821216
0.07,3,0.979053997109723
0.07,3.5,0.971471335961965
0.07,4,0.962979936832357
0.07,4.5,0.954481407132842
0.07,5,0.947046760142339
0.07,5.5,0.94413508555214
0.08,0.5,0.996834486759631
0.08,1,0.995149108570822
0.08,1.5,0.99243829172365
0.08,2,0.989101260718976
0.08,2.5,0.985040254366292
0.08,3,0.979746995695538
0.08,3.5,0.972256318671156
0.08,4,0.963918048605885
0.08,4.5,0.955584818433292
0.08,5,0.94812503479635
0.08,5.5,0.945113226424646
0.09,0.5,0.996973369602369
0.09,1,0.995325649214284
0.09,1.5,0.992664608861187
0.09,2,0.989464631537939
0.09,2.5,0.985628956960697
0.09,3,0.980457676678254
0.09,3.5,0.973054641198765
0.09,4,0.96488247613573
0.09,4.5,0.956739965069146
0.09,5,0.949274217543835
0.09,5.5,0.946142598177393
0.1,0.5,0.997105333771173
0.1,1,0.995494444724963
0.1,1.5,0.992883055289862
0.1,2,0.98983087852774
0.1,2.5,0.986265646815809
0.1,3,0.98118298586026
0.1,3.5,0.973863914239399
0.1,4,0.965870920622826
0.1,4.5,0.957944588757558
0.1,5,0.950496761203683
0.1,5.5,0.947221267724927
0.11,0.5,0.997230032367952
0.11,1,0.995654847852194
0.11,1.5,0.993092422703076
0.11,2,0.990196891082794
0.11,2.5,0.98695076068822
0.11,3,0.981918807112728
0.11,3.5,0.974681527143336
0.11,4,0.966880850242058
0.11,4.5,0.959195691971088
0.11,5,0.951788409363162
0.11,5.5,0.948346659879472
0.12,0.5,0.997347132900129
0.12,1,0.995806198619665
0.12,1.5,0.993291450297104
0.12,2,0.990558742426833
0.12,2.5,0.987671560588509
0.12,3,0.98265999224305
0.12,3.5,0.975504670998001
0.12,4,0.96790952854614
0.12,4.5,0.960489529902237
0.12,5,0.953137396454161
0.12,5.5,0.949515580880544
0.13,0.5,0.997456322093767
0.13,1,0.995947832111497
0.13,1.5,0.993478855184133
0.13,2,0.990911832384097
0.13,2.5,0.988414024784724
0.13,3,0.983400476107383
0.13,3.5,0.976330365853194
0.13,4,0.96895405303889
0.13,4.5,0.961821626225079
0.13,5,0.954535315548819
0.13,5.5,0.950724276458038
0.14,0.5,0.997557311030355
0.14,1,0.996079088539376
0.14,1.5,0.993653365737323
0.14,2,0.991251114151818
0.14,2.5,0.989164176706581
0.14,3,0.984133473634807
0.14,3.5,0.977155489524434
0.14,4,0.970011404980889
0.14,4.5,0.963186804046105
0.14,5,0.955973830935838
0.14,5.5,0.951968516574632
0.15,0.5,0.997649840492187
0.15,1,0.996199326179412
0.15,1.5,0.993813754864009
0.15,2,0.991571393695273
0.15,2.5,0.9899080632402
0.15,3,0.984851746708749
0.15,3.5,0.977976804932078
0.15,4,0.971078511579528
0.15,4.5,0.964579221087761
0.15,5,0.957444692276673
0.15,5.5,0.953243695694319
0.16,0.5,0.997733686363681
0.16,1,0.996307937861462
0.16,1.5,0.993958869434349
0.16,2,0.991867684580685
0.16,2.5,0.990631726964275
0.16,3,0.985547923153898
0.16,3.5,0.978790982938491
0.16,4,0.972152321769701
0.16,4.5,0.965992399029581
0.16,5,0.958939762481705
0.16,5.5,0.954544937387878
0.17,0.5,0.9978086648992
0.17,1,0.996404371681314
0.17,1.5,0.994087651491444
0.17,2,0.992135597337892
0.17,2.5,0.991321168326646
0.17,3,0.986214846882889
0.17,3.5,0.979594618352119
0.17,4,0.973229896693521
0.17,4.5,0.96741924035174
0.17,5,0.960451057636216
0.17,5.5,0.955867194442204
0.18,0.5,0.997874637636583
0.18,1,0.996488156378711
0.18,1.5,0.994199146563025
0.18,2,0.992371739196194
0.18,2.5,0.991962294721456
0.18,3,0.986845935944249
0.18,3.5,0.980384238295088
0.18,4,0.974308515555407
0.18,4.5,0.968852030775134
0.18,5,0.961970800232189
0.18,5.5,0.957205338895638
0.19,0.5,0.997931515715298
0.19,1,0.996558931252494
0.19,1.5,0.994292494555391
0.19,2,0.992574096340038
0.19,2.5,0.992540853236863
0.19,3,0.987435522836056
0.19,3.5,0.981156304337056
0.19,4,0.975385796542144
0.19,4.5,0.970282430324117
0.19,5,0.963491485708692
0.19,5.5,0.958554239379513
0.2,0.5,0.997979263355573
0.2,1,0.996616479466856
0.2,1.5,0.994366899556876
0.2,2,0.992742367667312
0.2,2.5,0.993042343341628
0.2,3,0.987979149957827
0.2,3.5,0.981907212126157
0.2,4,0.97645983078321
0.2,4.5,0.971701460180439
0.2,5,0.965005960247749
0.2,5.5,0.959908825281541
0.21,0.5,0.998017900276198
0.21,1,0.996660762160426
0.21,1.5,0.99442157664833
0.21,2,0.992878219106958
0.21,2.5,0.993455838268242
0.21,3,0.988473795033299
0.21,3.5,0.982633293745987
0.21,4,0.977529321522658
0.21,4.5,0.973099494949096
0.21,5,0.966507505013087
0.21,5.5,0.961264138585108
0.22,0.5,0.9980475028794
0.22,1,0.99669194916111
0.22,1.5,0.994455676671469
0.22,2,0.992985433612504
0.22,2.5,0.993791258420421
0.22,3,0.988918009115356
0.22,3.5,0.983330827696665
0.22,4,0.978589643242264
0.22,4.5,0.974466270002458
0.22,5,0.96798991907474
0.22,5.5,0.962615375063669
0.23,0.5,0.998068204113266
0.23,1,0.99671044088338
0.23,1.5,0.994468194721043
0.23,2,0.993069944566502
0.23,2.5,0.994064854041271
0.23,3,0.98931196326839
0.23,3.5,0.983996058826173
0.23,4,0.97963069836615
0.23,4.5,0.975790912464691
0.23,5,0.969447591122487
0.23,5.5,0.963957917122569
0.24,0.5,0.99808019203439
0.24,1,0.996716875844584
0.24,1.5,0.994459099055353
0.24,2,0.993139756833089
0.24,2.5,0.9942921389566
0.24,3,0.989657415677134
0.24,3.5,0.984625226391073
0.24,4,0.980644220314943
0.24,4.5,0.977064785502085
0.24,5,0.97087554991326
0.24,5.5,0.965287361152223
0.25,0.5,0.998083707228209
0.25,1,0.996712119676469
0.25,1.5,0.994432699700092
0.25,2,0.99320477566936
0.25,2.5,0.994487749341523
0.25,3,0.989957623298479
0.25,3.5,0.98521459428399
0.25,4,0.981623030857978
0.25,4.5,0.978286724853358
0.25,5,0.972269485944134
0.25,5.5,0.966599542738199
0.26,0.5,0.998079039388045
0.26,1,0.99669723439337
0.26,1.5,0.994394179312869
0.26,2,0.993274485666952
0.26,2.5,0.994665416696286
0.26,3,0.990217226895994
0.26,3.5,0.985760474981681
0.26,4,0.982561092338403
0.26,4.5,0.979456478373772
0.26,5,0.97362574171103
0.26,5.5,0.967890563163413
0.27,0.5,0.998066523484351
0.27,1,0.996673430142436
0.27,1.5,0.994348249365441
0.27,2,0.993349873682527
0.27,2.5,0.9948366137023
0.27,3,0.990442134386356
0.27,3.5,0.98625923879656
0.27,4,0.983453530227922
0.27,4.5,0.980573556768825
0.27,5,0.974941273551155
0.27,5.5,0.969156819861713
0.28,0.5,0.998046536042157
0.28,1,0.996642004505433
0.28,1.5,0.994299136574135
0.28,2,0.993430153292408
0.28,2.5,0.995010842832869
0.28,3,0.990639417385047
0.28,3.5,0.986707302390609
0.28,4,0.984296622971429
0.28,4.5,0.981637368379453
0.28,5,0.976213593830069
0.28,5.5,0.970395041487263
0.29,0.5,0.99801949204878
0.29,1,0.99660427577866
0.29,1.5,0.994250598926644
0.29,2,0.99351541991138
0.29,2.5,0.995196200524019
0.29,3,0.990817224109953
0.29,3.5,0.987101082773671
0.29,4,0.985087757357273
0.29,4.5,0.982647355478573
0.29,5,0.977434228241508
0.29,5.5,0.971602325266224
0.3,0.5,0.997985842892621
0.3,1,0.996561516397483
0.3,1.5,0.994205960403526
0.3,2,0.993606446557366
0.3,2.5,0.995399240286582
0.3,3,0.990984702816117
0.3,3.5,0.987437622589899
0.3,4,0.985825345794622
0.3,4.5,0.983603124164148
0.3,5,0.978595807228009
0.3,5.5,0.972776171344518
0.31,0.5,0.997946075455072
0.31,1,0.996514891302752
0.31,1.5,0.994168150577797
0.31,2,0.993704532163294
0.31,2.5,0.99562511887996
0.31,3,0.991151926534582
0.31,3.5,0.987723906044395
0.31,4,0.986508701435139
0.31,4.5,0.984504559149245
0.31,5,0.979699277278215
0.31,5.5,0.973914507438734
0.32,0.5,0.997900712044152
0.32,1,0.996465404291098
0.32,1.5,0.994139735309311
0.32,2,0.993811408503873
0.32,2.5,0.995876590704499
0.32,3,0.99132981242547
0.32,3.5,0.987970444220063
0.32,4,0.987137869451954
0.32,4.5,0.985351915509793
0.32,5,0.980745873934266
0.32,5.5,0.975015698196817
0.33,0.5,0.99785031034433
0.33,1,0.996413853816346
0.33,1.5,0.99412292794653
0.33,2,0.993929208043022
0.33,2.5,0.996153885903413
0.33,3,0.99153003547776
0.33,3.5,0.98818754164691
0.33,4,0.987713417599586
0.33,4.5,0.986145881523863
0.33,5,0.98173705025483
0.33,5.5,0.976078536890894
0.34,0.5,0.997795462128922
0.34,1,0.996360798580784
0.34,1.5,0.994119575787722
0.34,2,0.994060492819635
0.34,2.5,0.99645499176054
0.34,3,0.991763391391804
0.34,3.5,0.988385283055428
0.34,4,0.98823619468076
0.34,4.5,0.986887609346373
0.34,5,0.982674433829778
