Operation,Wind Speed (m/s),index,Power (kW),Thrust (kN),Cp,Ct
BL,3,0,-0.028561389434972356,29.144123508122977,-2.741395877942517e-05,0.08391984595145792
BL,4,1,1104.457555913077,500.7963714878497,0.4472241480220938,0.8111429158037698
BL,5,2,2165.401817557764,801.6732147454054,0.4489362480546046,0.8310239750320033
BL,6,3,3733.821165543441,1184.1179265652038,0.44797724107137876,0.8524102119421711
BL,7,4,5864.475236936084,1632.5977064212186,0.44308926215689887,0.8634541689370511
BL,8,5,8663.816320528464,2162.814168559689,0.4385261176203586,0.8757808017932974
BL,9,6,12138.577210718351,2732.851719081631,0.43151554505159845,0.8743538725914878
BL,10,7,16924.330876287582,3072.711390020179,0.4385990594695113,0.7963022795615101
BL,11,8,21855.963011761098,3267.3491610257843,0.4255475360293717,0.6997877981772507
BL,12,9,22000.18874282052,2519.8758175566304,0.32994295318050887,0.4534953469419332
1D,3,0,0.0028910595372978708,30.286825632420232,2.7749135652099107e-06,0.08721023093121899
1D,4,1,1104.0083151311578,500.7084052428809,0.4470422385183063,0.8110004363440559
1D,5,2,2155.4790630464654,798.9319308017995,0.4468790390209049,0.8281823275407244
1D,6,3,3723.6925137224935,1182.5015757552321,0.44676202339025545,0.8512466505218174
1D,7,4,5886.847244835225,1637.3209177786891,0.4447795747718392,0.8659521980114141
1D,8,5,8634.258360964766,2157.8506285057524,0.43703001742932207,0.8737709328219543
1D,9,6,12158.44376426327,2735.248446270199,0.4322217832319399,0.8751206861307068
1D,10,7,16843.92202245991,3067.9252883840145,0.43651524014928916,0.7950619471126282
1D,11,8,21879.429883895664,3331.3029746298994,0.4260044488457873,0.7134851706346867
1D,12,9,21999.774640111602,2518.8070107411654,0.32993674276693935,0.4533029966228357
3D,3,0,-0.005631648492105544,28.04201715232229,-5.4054015815404854e-06,0.08074635557096535
3D,4,1,1074.3395912460355,491.82067506774655,0.43502858557945956,0.7966049259538401
3D,5,2,2104.7729789876544,786.578651412968,0.4363665332373003,0.8153767714193965
3D,6,3,3627.2162081857773,1162.7176816465742,0.4351869673640232,0.8370048313652401
3D,7,4,5729.804341265749,1608.0299441335792,0.4329142293729335,0.8504606821244195
3D,8,5,8474.794180936924,2131.6512689560936,0.42895860811268754,0.8631621174894049
3D,9,6,11906.78786109464,2707.8116606851763,0.42327564132946266,0.8663425078050314
3D,10,7,16406.428348937876,3049.5708093068115,0.4251774617086968,0.7903053293655758
3D,11,8,21306.352224882827,3323.193745523771,0.414846313850081,0.7117483683214285
3D,12,9,22000.059536644792,2592.4593828570382,0.32994101543953375,0.4665580180858264
5D,3,0,-0.03996898653901181,27.091823521544423,-3.836326492205648e-05,0.07801029445398887
5D,4,1,1038.795000795583,481.51842643623945,0.42063563847534385,0.779918311453282
5D,5,2,2022.2536926993635,766.1220150075832,0.4192584388051126,0.794171179179688
5D,6,3,3490.204007651801,1132.6607424329102,0.4187484865511919,0.815367761821186
5D,7,4,5533.43821887942,1568.4973162026083,0.4180778259837998,0.8295525231445445
5D,8,5,8243.65365845647,2090.103969230641,0.4172592423599852,0.8463385142437617
5D,9,6,11630.855955968851,2671.9077471948417,0.4134665093059547,0.8548553401763344
5D,10,7,16180.613220883895,3038.990095574816,0.4193253956209775,0.7875633059879358
5D,11,8,21229.425506554326,3322.543496693852,0.41334850863225997,0.7116091006232027
